wals_code,iso_code,glottocode,Name,latitude,longitude,genus,family,macroarea,countrycodes
abd,abi,abid1235,Abidji,5.666666667,-4.583333333,Kwa,Niger-Congo,Africa,CI
ace,ace,achi1257,Acehnese,5.5,95.5,Malayo-Sumbawan,Austronesian,Eurasia,ID
acl,ach,acol1236,Acholi,3,32.66666667,Nilotic,Eastern Sudanic,Africa,UG SD
adi,adj,adio1239,Adioukrou,5.416666667,-4.583333333,Kwa,Niger-Congo,Africa,CI
adz,adz,adze1240,Adzera,-6.25,146.25,Oceanic,Austronesian,Papunesia,PG
afr,afr,afri1274,Afrikaans,-31,22,Germanic,Indo-European,Africa,ZA
agb,agb,legb1242,LeggbÃ³,6,8,Cross River,Niger-Congo,Africa,NG
agc,agt,cent2084,Agta (Central),17.96666667,121.8333333,Greater Central Philippine,Austronesian,Papunesia,PH
agd,duo,dupa1235,Agta (Dupaningan),18,122.0833333,Greater Central Philippine,Austronesian,Papunesia,PH
agh,agq,aghe1239,Aghem,6.666666667,10,Bantoid,Niger-Congo,Africa,CM
ajg,ajg,ajab1235,Ajagbe,7,1.75,Kwa,Niger-Congo,Africa,TG BJ
aji,aji,ajie1238,AjiÃ«,-21.33333333,165.5,Oceanic,Austronesian,Papunesia,NC
aka,axk,yaka1272,Aka,2.666666667,16.25,Bantoid,Niger-Congo,Africa,CF CG
akl,akl,akla1241,Aklanon,11.58333333,122.3333333,Greater Central Philippine,Austronesian,Papunesia,PH
akn,aka,akan1250,Akan,6.5,-1.25,Kwa,Niger-Congo,Africa,GH
ald,ald,alla1248,Alladian,5.166666667,-4.333333333,Kwa,Niger-Congo,Africa,CI
alk,apr,arop1243,Arop-Lokep,-5.383333333,147.05,Oceanic,Austronesian,Papunesia,PG
all,nrz,lala1268,Ala'ala,-8.916666667,146.75,Oceanic,Austronesian,Papunesia,PG
alt,gsw,swis1247,Alsatian,48.5,7.5,Germanic,Indo-European,Eurasia,FR
alw,alh,alaw1244,Alawa,-15.16666667,134.25,Alawa,Mangarrayi-Maran,Australia,AU
ama,aie,amar1272,Amara,-5.666666667,148.5,Oceanic,Austronesian,Papunesia,PG
aml,omb,east2443,Ambae (Lolovoli Northeast),-15.41666667,167.8833333,Oceanic,Austronesian,Papunesia,VU
ani,hnh,anii1246,//Ani,-18.91666667,21.91666667,Khoe-Kwadi,Khoe-Kwadi,Africa,BW
anj,aty,anei1239,Anejom,-20.2,169.8,Oceanic,Austronesian,Papunesia,VU
anu,cko,anuf1239,Anufo,10.08333333,0.25,Kwa,Niger-Congo,Africa,GH TG BJ
any,anu,anua1242,Anywa,8,33.5,Nilotic,Eastern Sudanic,Africa,ET
ara,arw,araw1276,Arawak,5.5,-55.16666667,Caribbean Arawakan,Arawakan,South America,SR
ari,laz,arib1241,Aribwatsa,-6.716666667,147,Oceanic,Austronesian,Papunesia,PG
ark,akr,arak1252,Araki,-15.66666667,166.9166667,Oceanic,Austronesian,Papunesia,VU
aro,aia,aros1241,Arosi,-10.25,161.3333333,Oceanic,Austronesian,Papunesia,SB
arx,alu,area1240,'Are'are,-9.25,161.1666667,Oceanic,Austronesian,Papunesia,SB
ass,asm,assa1263,Assamese,26,93,Indic,Indo-European,Eurasia,IN
ast,ast,astu1245,Asturian,43.25,-6,Romance,Indo-European,Eurasia,ES
atc,upv,urip1239,Atchin,-16,167.3333333,Oceanic,Austronesian,Papunesia,VU
aul,aul,aulu1238,Aulua,-16.33333333,167.6666667,Oceanic,Austronesian,Papunesia,VU
avk,avi,avik1243,Avikam,5.166666667,-5.5,Kwa,Niger-Congo,Africa,CI
avt,avn,avat1244,Avatime,6.833333333,0.416666667,Kwa,Niger-Congo,Africa,GH
awd,awa,awad1243,Awadhi,27.5,81.5,Indic,Indo-European,Eurasia,NP IN
ayi,any,anyi1245,Anyi,7,-3.5,Kwa,Niger-Congo,Africa,CI
ayw,nfl,ayiw1239,Ayiwo,-10.33333333,166.25,Oceanic,Austronesian,Papunesia,SB
bab,bav,veng1238,Babungo,6.116666667,10.41666667,Bantoid,Niger-Congo,Africa,CM
baf,bfd,bafu1246,Bafut,6.25,9.916666667,Bantoid,Niger-Congo,Africa,CM
bak,bkc,baka1272,Baka (in Cameroon),2.583333333,13.58333333,Ubangi,Niger-Congo,Africa,CM
bal,ban,bali1278,Balinese,-8.333333333,115.25,Malayo-Sumbawan,Austronesian,Papunesia,ID
bam,bam,bamb1269,Bambara,12.5,-7.5,Western Mande,Mande,Africa,ML
bar,bfa,bari1284,Bari,5,31.66666667,Nilotic,Eastern Sudanic,Africa,SD
bas,bas,basa1284,BasaÃ¡,3.916666667,10.5,Bantoid,Niger-Congo,Africa,CM
bat,bya,bata1301,Batak,10.25,119.0833333,Greater Central Philippine,Austronesian,Papunesia,PH
bbf,bbo,sout2840,Bobo MadarÃ© (Northern),12.41666667,-4.333333333,Western Mande,Mande,Africa,BF
bbl,bvx,dibo1245,Babole,1.083333333,17.25,Bantoid,Niger-Congo,Africa,CG
bbu,brm,bara1361,Barambu,3.5,27,Ubangi,Niger-Congo,Africa,CD
bdg,bfq,bada1257,Badaga,11.66666667,76.75,Southern Dravidian,Dravidian,Eurasia,IN
bdu,buu,budu1250,Budu,2,28,Bantoid,Niger-Congo,Africa,CD
bec,ctg,chit1275,Bengali (Chittagong),22.33333333,91.83333333,Indic,Indo-European,Eurasia,BD
bee,beq,beem1239,Beembe,-3.916666667,14.08333333,Bantoid,Niger-Congo,Africa,CG
bem,bmy,bemb1258,Bemba,-10,28.25,Bantoid,Niger-Congo,Africa,CD
ben,ben,beng1280,Bengali,24,90,Indic,Indo-European,Eurasia,IN BD
bfd,bif,biaf1240,Biafada,11.41666667,-15.16666667,Northern Atlantic,Niger-Congo,Africa,GW
bfi,ksf,bafi1243,Bafia,5,11.16666667,Bantoid,Niger-Congo,Africa,CM
bga,bng,beng1282,Benga,1.166666667,9.416666667,Bantoid,Niger-Congo,Africa,GQ GA
bgi,bgq,bagr1243,Bagri,29.58333333,74.33333333,Indic,Indo-European,Eurasia,IN
bgs,bsp,baga1272,Baga Sitemu,10.5,-14.5,Mel,Niger-Congo,Africa,GN
bgz,bdg,bong1289,Banggi,7.25,117.1666667,Barito,Austronesian,Papunesia,MY
bhi,bhb,bhil1251,Bhili,22,73,Indic,Indo-European,Eurasia,IN
bho,bho,bhoj1244,Bhojpuri,26,84,Indic,Indo-European,Eurasia,IN
bia,bip,bila1255,Bira,1,28.75,Bantoid,Niger-Congo,Africa,CD
bkb,xub,bett1235,Betta Kurumba,11.5,76.75,Southern Dravidian,Dravidian,Eurasia,IN
bkd,bkd,binu1244,Binukid,8.25,124.8333333,Greater Central Philippine,Austronesian,Papunesia,PH
bkl,bcl,cent2087,Bikol,13.33333333,123.5,Greater Central Philippine,Austronesian,Papunesia,PH
bkn,bdu,orok1266,Bakundu,4.833333333,9.333333333,Bantoid,Niger-Congo,Africa,CM
bkt,bkk,brok1247,Brokskat,35.33333333,76.5,Indic,Indo-European,Eurasia,PK IN
bku,bri,mokp1239,Bakueri,4.25,9.25,Bantoid,Niger-Congo,Africa,CM
ble,bci,baou1238,Baule,7,-5,Kwa,Niger-Congo,Africa,CI
blu,lua,luba1249,Bena-Lulua,-6,21,Bantoid,Niger-Congo,Africa,CD
blz,bjt,bala1300,Balanta,12.25,-15.33333333,Northern Atlantic,Niger-Congo,Africa,SN GW
bmn,bax,bamu1253,Bamun,5.5,10.91666667,Bantoid,Niger-Congo,Africa,CM
bnd,bza,band1352,Bandi,8.083333333,-10.25,Western Mande,Mande,Africa,LR
bnk,abb,bank1256,Bankon,4.416666667,9.583333333,Bantoid,Niger-Congo,Africa,CM
bnn,bcm,bann1247,Banoni,-6.416666667,155.25,Oceanic,Austronesian,Papunesia,PG
bob,bni,bang1354,Bobangi,-1.333333333,17.33333333,Bantoid,Niger-Congo,Africa,CD
bol,bli,boli1255,Bolia,-1.25,18.33333333,Bantoid,Niger-Congo,Africa,CD
boz,boz,tiey1235,Bozo (Tigemaxo),15,-4,Western Mande,Mande,Africa,ML
bsh,buf,bush1247,Bushoong,-4.5,21.5,Bantoid,Niger-Congo,Africa,CD
bsr,bsc,bass1258,Basari,12.66666667,-13,Northern Atlantic,Niger-Congo,Africa,GN SN
bub,bvb,bube1242,Bubi,3.5,8.666666667,Bantoid,Niger-Congo,Africa,GQ
buj,nmg,kwas1243,Bujeba,3,10.16666667,Bantoid,Niger-Congo,Africa,GQ CM
buk,bxk,buku1249,Bukusu,0.75,34.66666667,Bantoid,Niger-Congo,Africa,KE
bum,tkw,tean1237,Buma,-11.63333333,166.8333333,Oceanic,Austronesian,Papunesia,SB
buw,bum,bulu1251,Bulu,3,11,Bantoid,Niger-Congo,Africa,CM
bvi,wiv,bali1280,Bali-Vitu,-4.9,149.1166667,Oceanic,Austronesian,Papunesia,PG
ccp,coc,coco1261,Cocopa,32.33333333,-115,Yuman,Hokan,North America,MX US
ceb,ceb,cebu1242,Cebuano,10,124,Greater Central Philippine,Austronesian,Papunesia,PH
cem,cam,cemu1238,CÃ¨muhÃ®,-20.83333333,165.1666667,Oceanic,Austronesian,Papunesia,NC
cga,old,moch1256,Chaga,-3,37,Bantoid,Niger-Congo,Africa,TZ
chw,cja,west2650,Cham (Western),12,105.5,Malayo-Sumbawan,Austronesian,Eurasia,KH
chz,nan,minn1241,Chaozhou,23.66666667,116.6666667,Chinese,Sino-Tibetan,Eurasia,CN
cic,nya,nyan1308,Chichewa,-14,34,Bantoid,Niger-Congo,Africa,ZW MW ZM MZ
cil,lua,luba1249,CiLuba,-6,22,Bantoid,Niger-Congo,Africa,CD
ckh,mrn,chek1238,Cheke Holo,-8.333333333,159.6666667,Oceanic,Austronesian,Papunesia,SB
cme,cjm,east2563,Cham (Eastern),11.33333333,108.5,Malayo-Sumbawan,Austronesian,Eurasia,VN
cnt,yue,yuec1235,Cantonese,23,113,Chinese,Sino-Tibetan,Eurasia,CN
com,swb,maor1244,Comorian,-12,44,Bantoid,Niger-Congo,Africa,KM YT
crh,cje,chru1239,Chru,11.5,108.5,Malayo-Sumbawan,Austronesian,Eurasia,VN
crl,cal,caro1242,Carolinian,15.2,145.75,Oceanic,Austronesian,Papunesia,MP
csk,csk,jola1262,Diola-Kasa,12.5,-16.75,Northern Atlantic,Niger-Congo,Africa,
ctl,cat,stan1289,Catalan,41.75,2,Romance,Indo-European,Eurasia,ES
cum,ncu,chum1261,Chumburung,7.75,0.25,Kwa,Niger-Congo,Africa,GH
cuu,chk,chuu1238,Chuukese,7.333333333,151.75,Oceanic,Austronesian,Papunesia,FM
dar,dry,dara1250,Darai,24,84,Indic,Indo-European,Eurasia,NP
dat,tcc,dato1239,Datooga,-4.333333333,35.33333333,Nilotic,Eastern Sudanic,Africa,TZ
dbd,dav,tait1250,Dabida,-4,38.66666667,Bantoid,Niger-Congo,Africa,KE
dbr,nld,dutc1256,Dutch (Brabantic),50.75,4.5,Germanic,Indo-European,Eurasia,BE
det,shg,shua1254,Deti,-20.5,24.5,Khoe-Kwadi,Khoe-Kwadi,Africa,BW
dgi,dgo,indo1311,Dogri,33,75,Indic,Indo-European,Eurasia,IN
dgo,doo,dong1290,Dongo,3,30,Ubangi,Niger-Congo,Africa,CD
dhi,div,dhiv1236,Dhivehi,4.166666667,73.5,Indic,Indo-European,Eurasia,MV
die,dih,kumi1248,DiegueÃ±o (Mesa Grande),32.66666667,-116.1666667,Yuman,Hokan,North America,MX US
din,dip,nort2815,Dinka,8.5,28,Nilotic,Eastern Sudanic,Africa,SD
dio,dyo,jola1263,Diola-Fogny,13,-16.25,Northern Atlantic,Niger-Congo,Africa,GM SN
dli,nld,dutc1256,Dutch (Limburg),51,5.5,Germanic,Indo-European,Eurasia,BE
dma,dma,duma1253,Duma,-0.95,13,Bantoid,Niger-Congo,Africa,GA
dmk,dmk,doma1260,Dumaki,36.16666667,74,Indic,Indo-European,Eurasia,PK
dng,diz,ding1239,Ding,-4.333333333,19.5,Bantoid,Niger-Congo,Africa,CD
dok,ngc,ngom1268,Doko,3,23.08333333,Bantoid,Niger-Congo,Africa,CD
dom,rmt,doma1258,Domari,32,35,Indic,Indo-European,Eurasia,IR JO IL
dre,dhv,dehu1237,Drehu,-21,167.25,Oceanic,Austronesian,Papunesia,NC
dsh,dan,dani1285,Danish,56,10,Germanic,Indo-European,Eurasia,DK
dua,dua,dual1243,Duala,4,9.416666667,Bantoid,Niger-Congo,Africa,CM
dut,nld,dutc1256,Dutch,52.5,6,Germanic,Indo-European,Eurasia,NL
duz,zea,zeeu1238,Dutch (Zeeuws),51.5,3.75,Germanic,Indo-European,Eurasia,NL BE
dyu,dyu,dyul1238,Dyula,9.833333333,-4.666666667,Western Mande,Mande,Africa,ML BF CI
efi,efi,efik1245,Efik,4.916666667,8.5,Cross River,Niger-Congo,Africa,NG
ega,ega,egaa1242,Ega,5.5,-5.5,Kwa,Niger-Congo,Africa,CI
eja,etu,ejag1239,Ejagham,5.416666667,8.666666667,Bantoid,Niger-Congo,Africa,NG CM
eko,eko,koti1238,Ekoti,-16.5,39.5,Bantoid,Niger-Congo,Africa,MZ
eng,eng,stan1293,English,52,0,Germanic,Indo-European,Eurasia,GB IE
eny,gey,enya1247,Enya,-0.5,25.25,Bantoid,Niger-Congo,Africa,CD
erk,erk,sout2856,Efate (South),-17.75,168.4166667,Oceanic,Austronesian,Papunesia,VU
err,erg,siee1239,Erromangan,-18.83333333,169.1666667,Oceanic,Austronesian,Papunesia,VU
ewa,ewe,ewee1241,Ewe (Anglo),6,1,Kwa,Niger-Congo,Africa,GH
ewe,ewe,ewee1241,Ewe,6.333333333,0.416666667,Kwa,Niger-Congo,Africa,TG GH
ewo,ewo,ewon1239,Ewondo,4,12,Bantoid,Niger-Congo,Africa,CM
far,fao,faro1244,Faroese,62,-7,Germanic,Indo-European,Eurasia,DK
fbf,fuh,west2454,Fula (Burkina Faso),14,0,Northern Atlantic,Niger-Congo,Africa,BF
fea,frs,east2288,Frisian (Eastern),53.58333333,7.5,Germanic,Indo-European,Eurasia,DE
fef,fmp,fefe1239,Fe'fe',5.25,10.16666667,Bantoid,Niger-Congo,Africa,CM
fgo,fub,adam1253,Fulani (Gombe),10.25,11.25,Northern Atlantic,Niger-Congo,Africa,NG
fgu,fuf,pula1262,Fula (Guinean),11.5,-12.5,Northern Atlantic,Niger-Congo,Africa,GN
fij,fij,fiji1243,Fijian,-17.83333333,178,Oceanic,Austronesian,Papunesia,FJ
fio,kng,koon1244,Fiote,-5.5,14,Bantoid,Niger-Congo,Africa,CD
fiw,wyy,west2519,Fijian (Wayan),-17,177.3,Oceanic,Austronesian,Papunesia,FJ
fli,fuh,west2454,Ful (Liptako),13.5,0.5,Northern Atlantic,Niger-Congo,Africa,BF
fma,fuc,pula1263,Fula (Mauritanian),16.5,-13.75,Northern Atlantic,Niger-Congo,Africa,MR
fni,fuv,nige1253,Fula (Nigerian),8.166666667,10.5,Northern Atlantic,Niger-Congo,Africa,NG
fno,frr,nort2626,Frisian (North),54.5,9,Germanic,Indo-European,Eurasia,DE
fon,fon,fonn1241,Fongbe,6.416666667,2.166666667,Kwa,Niger-Congo,Africa,BJ
fre,fra,stan1290,French,48,2,Romance,Indo-European,Eurasia,CH FR
fri,frs,east2288,Frisian,53,5,Germanic,Indo-European,Eurasia,DE NL
frw,fry,west2354,Frisian (Western),53,6,Germanic,Indo-European,Eurasia,NL
fua,fub,adam1253,Fula (Cameroonian),9.166666667,13.5,Northern Atlantic,Niger-Congo,Africa,CM
fue,fud,east2447,Futuna (East),-14.33333333,-178.1666667,Oceanic,Austronesian,Papunesia,WF
fum,ffm,maas1239,Fulfulde (Maasina),15,-5,Northern Atlantic,Niger-Congo,Africa,ML
fus,fuc,pula1263,Fula (Senegal),15,-14,Northern Atlantic,Niger-Congo,Africa,SN
fut,fut,futu1245,Futuna-Aniwa,-19.53333333,170.2166667,Oceanic,Austronesian,Papunesia,VU
fuz,cdo,mind1253,Fuzhou,26,119.5,Chinese,Sino-Tibetan,Eurasia,MY TH CN
ga,gaa,gaaa1244,GÃ£,5.666666667,-0.166666667,Kwa,Niger-Congo,Africa,GH
gap,pwg,gapa1238,Gapapaiwa,-9.75,149.8333333,Oceanic,Austronesian,Papunesia,PG
gau,bar,bava1246,German (Upper Austrian),47,14,Germanic,Indo-European,Eurasia,AT
gba,bar,bava1246,German (Bavarian),49,11.5,Germanic,Indo-European,Eurasia,DE AT
gbe,gsw,swis1247,German (Bern),47,7.416666667,Germanic,Indo-European,Eurasia,CH
gbl,deu,stan1295,German (Berlin),52.5,13.33333333,Germanic,Indo-European,Eurasia,DE
gel,nlg,gela1263,Gela,-9.083333333,160.25,Oceanic,Austronesian,Papunesia,SB
ger,deu,stan1295,German,52,10,Germanic,Indo-European,Eurasia,AT DE CH
gha,deu,stan1295,German (Hannover),52.41666667,9.666666667,Germanic,Indo-European,Eurasia,DE
glc,glg,gali1258,Galician,43,-8,Romance,Indo-European,Eurasia,ES
gma,deu,stan1295,German (Mansfeldisch),51.58333333,11.5,Germanic,Indo-European,Eurasia,DE
gmw,gvs,guma1254,Gumawana,-9.25,150.8333333,Oceanic,Austronesian,Papunesia,PG
goa,guc,wayu1243,Goajiro,12,-72,Caribbean Arawakan,Arawakan,South America,VR CO
goj,gju,guja1253,Gojri,32.75,76.25,Indic,Indo-European,Eurasia,IN
gok,gkn,goka1239,Gokana,4.583333333,7.333333333,Cross River,Niger-Congo,Africa,NG
gol,gol,gola1255,Gola,7.25,-10.83333333,Mel,Niger-Congo,Africa,SL LR
gos,gsw,swis1247,German (Ostschweiz),47.41666667,9.25,Germanic,Indo-European,Eurasia,CH
gpz,gsw,swis1247,German (Appenzell),47.33333333,9.333333333,Germanic,Indo-European,Eurasia,CH
grf,cab,gari1256,GarÃ­funa,15.66666667,-88,Caribbean Arawakan,Arawakan,North America,BZ GT HN
grp,ksh,kols1241,German (Ripuarian),51,7,Germanic,Indo-European,Eurasia,BE
grt,gor,goro1259,Gorontalo,0.5,122,Greater Central Philippine,Austronesian,Papunesia,ID
gtg,gsw,swis1247,German (Thurgau),47.58333333,9.166666667,Germanic,Indo-European,Eurasia,CH
gth,deu,stan1295,German (Thuringian),51,11,Germanic,Indo-European,Eurasia,DE
gti,deu,stan1295,German (Timisoara),45.75,21.25,Germanic,Indo-European,Eurasia,RO
guj,guj,guja1252,Gujarati,23,72,Indic,Indo-European,Eurasia,IN
gun,yas,nugu1242,Gunu,4.583333333,11.25,Bantoid,Niger-Congo,Africa,CM
gus,guz,gusi1247,Gusii,-0.75,34.83333333,Bantoid,Niger-Congo,Africa,KE
guw,guw,gunn1250,Gungbe,6.5,2.5,Kwa,Niger-Congo,Africa,BJ
gvi,bar,bava1246,German (Viennese),48.16666667,16.33333333,Germanic,Indo-European,Eurasia,AT
gwe,wep,west2356,German (Westphalian),52,7.5,Germanic,Indo-European,Eurasia,DE
gzu,gsw,swis1247,German (Zurich),47.41666667,8.5,Germanic,Indo-European,Eurasia,CH
hak,hak,hakk1236,Hakka,25,116,Chinese,Sino-Tibetan,Eurasia,CN
hal,hla,hali1244,Halia,-5.25,154.6666667,Oceanic,Austronesian,Papunesia,PG
hav,yuf,hava1248,Havasupai,35.75,-112.5,Yuman,Hokan,North America,US
haw,haw,hawa1245,Hawaiian,19.58333333,-155.5,Oceanic,Austronesian,Papunesia,US
heh,heh,hehe1240,Hehe,-8,36,Bantoid,Niger-Congo,Africa,TZ
hem,hem,hemb1242,Hemba,-6.25,27.16666667,Bantoid,Niger-Congo,Africa,CD
her,her,here1253,Herero,-20.58333333,19,Bantoid,Niger-Congo,Africa,BW NA
hil,hil,hili1240,Hiligaynon,10.25,123,Greater Central Philippine,Austronesian,Papunesia,PH
hin,hin,hind1269,Hindi,25,77,Indic,Indo-European,Eurasia,IN
hlb,hlb,halb1244,Halbi,21,81,Indic,Indo-European,Eurasia,IN
